,RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Year*
27,28,Tim BiakabutukaCAR,RB,12,173,627,3.6,43,5,2,52.3,1,1,29,2000
28,29,Shawn BrysonBUF,RB,16,161,591,3.7,24,2,0,36.9,0,0,30,2000
29,30,Priest HolmesBAL,RB,16,137,588,4.3,21,2,2,36.8,1,1,38,2000
30,31,Kevin FaulkNE,RB,16,164,570,3.5,18,0,4,35.6,4,2,31,2000
31,32,Rich GannonOAK,QB,16,89,529,5.9,23,2,4,33.1,3,2,34,2000
32,33,Travis PrenticeCLE,RB,16,173,512,3.0,17,0,7,32.0,1,1,30,2000
33,34,Napoleon KaufmanOAK,RB,14,93,499,5.4,60,8,0,35.6,1,1,21,2000
34,35,Daunte CulpepperMIN,QB,16,89,470,5.3,27,5,7,29.4,6,2,36,2000
35,36,Mike AlstottTB,FB,13,131,465,3.5,20,1,5,35.8,3,2,37,2000
36,37,Kordell StewartPIT,QB,16,78,436,5.6,45,4,7,27.3,6,2,28,2000
37,38,Jeff GarciaSF,QB,16,72,414,5.8,33,2,4,25.9,2,0,24,2000
38,39,J.R. RedmondNE,RB,12,125,406,3.2,20,1,1,33.8,1,0,14,2000
39,40,Steve McNairTEN,QB,16,72,403,5.6,25,4,0,25.2,7,3,23,2000
40,41,Terrell FletcherSD,RB,16,116,384,3.3,21,1,3,24.0,2,2,19,2000
41,42,Thomas JonesARI,RB,14,112,373,3.3,29,1,2,26.6,3,2,23,2000
42,43,Jermaine FazandeSD,RB,13,119,368,3.1,26,2,2,28.3,1,1,21,2000
43,44,Antowain SmithBUF,RB,11,101,354,3.5,59,1,4,32.2,1,1,19,2000
44,45,Shaun KingTB,QB,16,73,353,4.8,19,0,5,22.1,2,0,24,2000
45,46,Duce StaleyPHI,RB,5,79,344,4.4,60,2,1,68.8,1,1,14,2000
46,47,Sammy MorrisBUF,RB,12,93,341,3.7,32,2,5,28.4,1,0,29,2000
47,48,Darnell AutryPHI,RB,11,112,334,3.0,15,0,3,30.4,2,1,16,2000
48,49,Kimble AndersKC,RB,15,76,331,4.4,69,1,2,22.1,1,1,14,2000
49,50,Cade McNownCHI,QB,10,50,326,6.5,30,2,3,32.6,4,2,19,2000
50,51,Brandon BennettCIN,RB,16,90,324,3.6,37,1,3,20.3,1,1,18,2000
51,52,Shaun AlexanderSEA,RB,16,64,313,4.9,50,1,2,19.6,2,2,20,2000
52,53,Rob JohnsonBUF,QB,12,42,307,7.3,23,2,1,25.6,1,1,15,2000
